measured0,measured1,measured2,range0,range1,range2,range3,range4,range5,uuid,timestamp,range,measured,res
44,21,52,20,80,10,20,30,70,89798,2021-06-17 11:35:00,"[20, 80, 10, 20, 30, 70]","[44, 21, 52]",0
41,24,61,20,80,10,20,30,70,51539,2021-06-29 08:38:13,"[20, 80, 10, 20, 30, 70]","[41, 24, 61]",0
34,7,65,20,80,10,20,30,70,17826,2021-06-13 10:29:49,"[20, 80, 10, 20, 30, 70]","[34, 7, 65]",0
48,15,28,20,80,10,20,30,70,57650,2021-06-19 16:08:17,"[20, 80, 10, 20, 30, 70]","[48, 15, 28]",0
85,23,75,20,80,10,20,30,70,39891,2021-06-22 14:29:58,"[20, 80, 10, 20, 30, 70]","[85, 23, 75]",0
62,20,69,20,80,10,20,30,70,61483,2021-06-26 11:54:00,"[20, 80, 10, 20, 30, 70]","[62, 20, 69]",1
61,25,28,20,80,10,20,30,70,42970,2021-06-10 18:03:19,"[20, 80, 10, 20, 30, 70]","[61, 25, 28]",0
21,22,48,20,80,10,20,30,70,27438,2021-06-18 08:31:36,"[20, 80, 10, 20, 30, 70]","[21, 22, 48]",0
62,24,38,20,80,10,20,30,70,44644,2021-06-22 18:33:53,"[20, 80, 10, 20, 30, 70]","[62, 24, 38]",0
28,7,59,20,80,10,20,30,70,54986,2021-06-20 18:22:08,"[20, 80, 10, 20, 30, 70]","[28, 7, 59]",0
53,12,74,20,80,10,20,30,70,52099,2021-06-26 11:59:22,"[20, 80, 10, 20, 30, 70]","[53, 12, 74]",0
20,9,33,20,80,10,20,30,70,88834,2021-06-18 13:07:08,"[20, 80, 10, 20, 30, 70]","[20, 9, 33]",0
79,18,47,20,80,10,20,30,70,49449,2021-06-22 18:43:31,"[20, 80, 10, 20, 30, 70]","[79, 18, 47]",1
49,16,64,20,80,10,20,30,70,50532,2021-06-19 17:47:45,"[20, 80, 10, 20, 30, 70]","[49, 16, 64]",1
72,12,41,20,80,10,20,30,70,23452,2021-06-27 17:48:47,"[20, 80, 10, 20, 30, 70]","[72, 12, 41]",1
79,25,52,20,80,10,20,30,70,78043,2021-06-13 10:17:11,"[20, 80, 10, 20, 30, 70]","[79, 25, 52]",0
71,21,61,20,80,10,20,30,70,15440,2021-06-22 16:12:01,"[20, 80, 10, 20, 30, 70]","[71, 21, 61]",0
50,16,76,20,80,10,20,30,70,87527,2021-06-14 13:35:02,"[20, 80, 10, 20, 30, 70]","[50, 16, 76]",0
75,12,36,20,80,10,20,30,70,38736,2021-06-10 12:45:49,"[20, 80, 10, 20, 30, 70]","[75, 12, 36]",1
37,16,72,20,80,10,20,30,70,89762,2021-06-19 12:10:26,"[20, 80, 10, 20, 30, 70]","[37, 16, 72]",0
59,20,53,20,80,10,20,30,70,49767,2021-06-13 17:07:07,"[20, 80, 10, 20, 30, 70]","[59, 20, 53]",1
73,17,47,20,80,10,20,30,70,23323,2021-06-11 18:31:58,"[20, 80, 10, 20, 30, 70]","[73, 17, 47]",1
52,16,57,20,80,10,20,30,70,10558,2021-06-27 08:45:12,"[20, 80, 10, 20, 30, 70]","[52, 16, 57]",1
32,7,30,20,80,10,20,30,70,55232,2021-06-18 11:53:34,"[20, 80, 10, 20, 30, 70]","[32, 7, 30]",0
24,21,69,20,80,10,20,30,70,20177,2021-06-14 16:07:12,"[20, 80, 10, 20, 30, 70]","[24, 21, 69]",0
62,11,38,20,80,10,20,30,70,42936,2021-06-17 13:26:47,"[20, 80, 10, 20, 30, 70]","[62, 11, 38]",1
40,20,54,20,80,10,20,30,70,66813,2021-06-17 16:05:34,"[20, 80, 10, 20, 30, 70]","[40, 20, 54]",1
34,20,55,20,80,10,20,30,70,61857,2021-06-19 18:26:49,"[20, 80, 10, 20, 30, 70]","[34, 20, 55]",1
64,18,80,20,80,10,20,30,70,25164,2021-06-15 09:39:15,"[20, 80, 10, 20, 30, 70]","[64, 18, 80]",0
49,19,80,20,80,10,20,30,70,40608,2021-06-27 11:00:26,"[20, 80, 10, 20, 30, 70]","[49, 19, 80]",0
71,17,67,20,80,10,20,30,70,49901,2021-06-24 15:36:11,"[20, 80, 10, 20, 30, 70]","[71, 17, 67]",1
84,14,41,20,80,10,20,30,70,45352,2021-06-24 16:02:49,"[20, 80, 10, 20, 30, 70]","[84, 14, 41]",0
51,21,59,20,80,10,20,30,70,34624,2021-06-20 18:25:18,"[20, 80, 10, 20, 30, 70]","[51, 21, 59]",0
41,18,43,20,80,10,20,30,70,45800,2021-06-25 18:14:16,"[20, 80, 10, 20, 30, 70]","[41, 18, 43]",1
85,11,80,20,80,10,20,30,70,48565,2021-06-25 18:56:04,"[20, 80, 10, 20, 30, 70]","[85, 11, 80]",0
75,9,76,20,80,10,20,30,70,29606,2021-06-14 16:12:36,"[20, 80, 10, 20, 30, 70]","[75, 9, 76]",0
60,11,52,20,80,10,20,30,70,60047,2021-06-24 15:20:09,"[20, 80, 10, 20, 30, 70]","[60, 11, 52]",1
24,17,54,20,80,10,20,30,70,21765,2021-06-12 12:59:06,"[20, 80, 10, 20, 30, 70]","[24, 17, 54]",1
82,22,78,20,80,10,20,30,70,79369,2021-06-21 14:17:57,"[20, 80, 10, 20, 30, 70]","[82, 22, 78]",0
37,20,78,20,80,10,20,30,70,26826,2021-06-25 17:30:30,"[20, 80, 10, 20, 30, 70]","[37, 20, 78]",0
49,19,70,20,80,10,20,30,70,28968,2021-06-10 16:48:44,"[20, 80, 10, 20, 30, 70]","[49, 19, 70]",1
52,10,55,20,80,10,20,30,70,49350,2021-06-27 15:47:27,"[20, 80, 10, 20, 30, 70]","[52, 10, 55]",1
79,17,39,20,80,10,20,30,70,51053,2021-06-21 10:39:08,"[20, 80, 10, 20, 30, 70]","[79, 17, 39]",1
60,14,55,20,80,10,20,30,70,69504,2021-06-10 11:56:33,"[20, 80, 10, 20, 30, 70]","[60, 14, 55]",1
53,24,44,20,80,10,20,30,70,28497,2021-06-13 12:36:29,"[20, 80, 10, 20, 30, 70]","[53, 24, 44]",0
31,24,56,20,80,10,20,30,70,86469,2021-06-15 10:31:05,"[20, 80, 10, 20, 30, 70]","[31, 24, 56]",0
19,25,32,20,80,10,20,30,70,63466,2021-06-15 15:41:05,"[20, 80, 10, 20, 30, 70]","[19, 25, 32]",0
44,8,76,20,80,10,20,30,70,43941,2021-06-15 08:45:58,"[20, 80, 10, 20, 30, 70]","[44, 8, 76]",0
46,9,77,20,80,10,20,30,70,25231,2021-06-16 13:51:36,"[20, 80, 10, 20, 30, 70]","[46, 9, 77]",0
27,6,32,20,80,10,20,30,70,62076,2021-06-23 16:39:25,"[20, 80, 10, 20, 30, 70]","[27, 6, 32]",0
85,7,73,20,80,10,20,30,70,50569,2021-06-14 13:42:37,"[20, 80, 10, 20, 30, 70]","[85, 7, 73]",0
17,25,66,20,80,10,20,30,70,79275,2021-06-27 15:03:56,"[20, 80, 10, 20, 30, 70]","[17, 25, 66]",0
36,8,63,20,80,10,20,30,70,32965,2021-06-19 08:15:03,"[20, 80, 10, 20, 30, 70]","[36, 8, 63]",0
50,23,32,20,80,10,20,30,70,77457,2021-06-23 18:29:26,"[20, 80, 10, 20, 30, 70]","[50, 23, 32]",0
38,12,61,20,80,10,20,30,70,70971,2021-06-17 08:29:16,"[20, 80, 10, 20, 30, 70]","[38, 12, 61]",1
47,15,40,20,80,10,20,30,70,39779,2021-06-27 14:04:56,"[20, 80, 10, 20, 30, 70]","[47, 15, 40]",1
20,9,37,20,80,10,20,30,70,55373,2021-06-27 18:39:20,"[20, 80, 10, 20, 30, 70]","[20, 9, 37]",0
60,23,39,20,80,10,20,30,70,50764,2021-06-25 17:35:46,"[20, 80, 10, 20, 30, 70]","[60, 23, 39]",0
54,24,63,20,80,10,20,30,70,85450,2021-06-29 14:13:29,"[20, 80, 10, 20, 30, 70]","[54, 24, 63]",0
69,20,29,20,80,10,20,30,70,57194,2021-06-17 14:50:39,"[20, 80, 10, 20, 30, 70]","[69, 20, 29]",0
58,10,38,20,80,10,20,30,70,13969,2021-06-16 10:25:50,"[20, 80, 10, 20, 30, 70]","[58, 10, 38]",1
56,10,41,20,80,10,20,30,70,19411,2021-06-19 12:51:45,"[20, 80, 10, 20, 30, 70]","[56, 10, 41]",1
75,9,46,20,80,10,20,30,70,44265,2021-06-23 10:23:00,"[20, 80, 10, 20, 30, 70]","[75, 9, 46]",0
53,23,58,20,80,10,20,30,70,16332,2021-06-11 18:39:42,"[20, 80, 10, 20, 30, 70]","[53, 23, 58]",0
57,24,28,20,80,10,20,30,70,54323,2021-06-14 14:37:38,"[20, 80, 10, 20, 30, 70]","[57, 24, 28]",0
31,23,41,20,80,10,20,30,70,54628,2021-06-12 13:38:03,"[20, 80, 10, 20, 30, 70]","[31, 23, 41]",0
60,24,44,20,80,10,20,30,70,16480,2021-06-25 16:55:07,"[20, 80, 10, 20, 30, 70]","[60, 24, 44]",0
33,14,57,20,80,10,20,30,70,35004,2021-06-11 17:38:48,"[20, 80, 10, 20, 30, 70]","[33, 14, 57]",1
38,24,47,20,80,10,20,30,70,75600,2021-06-18 13:15:38,"[20, 80, 10, 20, 30, 70]","[38, 24, 47]",0
37,15,48,20,80,10,20,30,70,77347,2021-06-16 10:36:07,"[20, 80, 10, 20, 30, 70]","[37, 15, 48]",1
75,7,46,20,80,10,20,30,70,55325,2021-06-10 08:28:12,"[20, 80, 10, 20, 30, 70]","[75, 7, 46]",0
56,5,51,20,80,10,20,30,70,50424,2021-06-22 13:57:16,"[20, 80, 10, 20, 30, 70]","[56, 5, 51]",0
45,20,74,20,80,10,20,30,70,35532,2021-06-27 17:48:48,"[20, 80, 10, 20, 30, 70]","[45, 20, 74]",0
62,7,74,20,80,10,20,30,70,31477,2021-06-26 08:35:39,"[20, 80, 10, 20, 30, 70]","[62, 7, 74]",0
57,16,53,20,80,10,20,30,70,57717,2021-06-20 09:34:04,"[20, 80, 10, 20, 30, 70]","[57, 16, 53]",1
